Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial041,FZL,DarkGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1811,840,8651,307.8,275.9,303.9,331.9,275.9,1,0,1,1,1811.7,100,17,15.2,275.9,15.2,-
Trial041,XC (1),DarkKhaki,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2647,3.8,3523,919.9,1008.4,1120.5,1259.7,108.7,3,2,3,1,2647.4,100,34.7,38.1,1008.4,38.1,-
Trial041,WW,DarkMagenta,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1711,-,-,0,0,0,0,0,0,-,0,1,1711.1,100,0,0,0,0,-
Trial041,LJY,DarkOliveGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1546,-,-,4,0,0,0,0,0,-,0,1,1546.7,100,0.3,0,0,0,-
Trial007,gyx,DarkOrchid,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1694,1186.2,9351,476.2,508,544,544,508,1,0,1,1,1694.3,100,28.1,30,508,30,-
Trial047,gyx,DarkOrchid,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1746,-,-,0,0,0,0,0,0,-,0,1,1746.7,100,0,0,0,0,-
Trial007,CJY,DarkRed,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1612,705.1,8205,556,879.9,911.9,939.9,216,2,1,2,1,1613,100,34.5,54.6,879.9,54.6,-
Trial047,CJY,DarkRed,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1680,-,-,4,0,0,0,0,0,-,0,1,1680.3,100,0.2,0,0,0,-
Trial007,CY,DarkSalmon,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2662,671.2,8074,895.9,1991.7,2027.7,2027.7,1991.7,1,0,1,1,2662.9,100,33.6,74.8,1991.7,74.8,-
Trial048,CY,DarkSalmon,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1995,-,-,0,0,0,0,0,0,-,0,1,1995.7,100,0,0,0,0,-
Trial008,CXM,DarkSeaGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,3611,2212.1,9737,491.9,232,308,336,232,1,0,1,1,3611.9,100,13.6,6.4,232,6.4,-
Trial051,CXM,DarkSeaGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2463,883.9,8786,303.9,244,344.1,384.1,244,1,0,1,1,2463.7,100,12.3,9.9,244,9.9,-
Trial007,ZA,DarkSlateBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,3044,865,8723,1007.9,236.1,312.1,312.1,180.1,1,0,1,1,3044.8,100,33.1,7.8,180.1,5.9,-
Trial047,ZA,DarkSlateBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2563,647.4,8005,532,471.9,519.9,576,471.9,1,0,1,1,2563.1,100,20.8,18.4,471.9,18.4,-
Trial007,WJ,DarkSlateGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1713,-,-,512.1,0,67.9,67.9,0,0,-,0,1,1713.7,100,29.9,0,0,0,-
Trial047,WJ,DarkSlateGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1230,-,-,0,0,0,0,0,0,-,0,1,1230.9,100,0,0,0,0,-
Trial007,YDS,DarkTurquoise,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1381,-,-,152,0,0,0,0,0,-,0,1,1381.2,100,11,0,0,0,-
Trial048,YDS,DarkTurquoise,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1145,-,-,0,0,0,0,0,0,-,0,1,1145.6,100,0,0,0,0,-
Trial007,CYY,DarkViolet,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1594,606.6,7845,879.8,987.8,1051.8,1051.8,987.8,1,0,1,1,1594.4,100,55.2,62,987.8,62,-
Trial049,CYY,DarkViolet,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2562,-,-,251.9,0,28,28,0,0,-,0,1,2562.2,100,9.8,0,0,0,-
